File,Duration,Whisper_WER,Whisper_CER,Whisper_RTF,Vosk_WER,Vosk_CER,Vosk_RTF,GigaAM_WER,GigaAM_CER,GigaAM_RTF
audio9.wav,3.29s,0.250,0.029,0.660,0.000,0.000,0.370,0.000,0.000,0.300
audio8.wav,4.06s,0.500,0.068,0.527,0.167,0.045,0.321,0.000,0.000,0.269
audio4.wav,3.72s,0.400,0.050,0.555,0.600,0.075,0.371,0.200,0.025,0.273
audio5.wav,3.22s,0.200,0.031,0.626,0.000,0.000,0.383,0.000,0.000,0.285
audio7.wav,3.24s,0.500,0.056,0.627,0.000,0.000,0.377,0.000,0.000,0.285
audio1.wav,2.18s,0.500,0.130,0.887,0.000,0.000,0.472,0.000,0.000,0.322
audio10.wav,2.98s,0.500,0.161,0.707,0.000,0.000,0.389,0.000,0.000,0.297
audio6.wav,3.62s,0.400,0.050,0.553,0.000,0.000,0.352,0.000,0.000,0.275
audio2.wav,3.55s,0.500,0.081,0.578,0.000,0.000,0.373,0.000,0.000,0.275
audio3.wav,3.72s,0.250,0.022,0.548,0.000,0.000,0.377,0.000,0.000,0.272
AVERAGE,-,0.400,0.068,0.627,0.077,0.012,0.379,0.020,0.003,0.285
